ADCMAP,600,527
ADCMAP,604,530
ADCMAP,608,533
ADCMAP,612,537
ADCMAP,616,540
ADCMAP,620,543
ADCMAP,624,547
ADCMAP,628,551
ADCMAP,632,554
ADCMAP,636,557
ADCMAP,640,561
ADCMAP,644,563
ADCMAP,648,568
ADCMAP,652,570
ADCMAP,656,574
ADCMAP,660,577
ADCMAP,664,582
ADCMAP,668,584
ADCMAP,672,588
ADCMAP,676,591
ADCMAP,680,594
ADCMAP,684,598
ADCMAP,688,601
ADCMAP,692,605
ADCMAP,696,608
ADCMAP,700,612
ADCMAP,704,614
ADCMAP,708,619
ADCMAP,712,621
ADCMAP,716,625
ADCMAP,720,628
ADCMAP,724,631
ADCMAP,728,634
ADCMAP,732,638
ADCMAP,736,642
ADCMAP,740,645
ADCMAP,744,648
ADCMAP,748,652
ADCMAP,752,654
ADCMAP,756,659
ADCMAP,760,662
ADCMAP,764,665
ADCMAP,768,668
ADCMAP,772,673
ADCMAP,776,676
ADCMAP,780,678
ADCMAP,784,683
ADCMAP,788,685
ADCMAP,792,689
ADCMAP,796,692
ADCMAP,800,695
ADCMAP,804,698
ADCMAP,808,703
ADCMAP,812,705
ADCMAP,816,710
ADCMAP,820,712
ADCMAP,824,715
ADCMAP,828,720
ADCMAP,832,722
ADCMAP,836,725
ADCMAP,840,729
ADCMAP,844,733
ADCMAP,848,736
ADCMAP,852,739
ADCMAP,856,741
ADCMAP,860,746
ADCMAP,864,749
ADCMAP,868,753
ADCMAP,872,756
ADCMAP,876,759
ADCMAP,880,763
ADCMAP,884,766
ADCMAP,888,770
ADCMAP,892,772
ADCMAP,896,777
ADCMAP,900,780
ADCMAP,904,782
ADCMAP,908,785
ADCMAP,912,788
ADCMAP,916,793
ADCMAP,920,796
ADCMAP,924,799
ADCMAP,928,803
ADCMAP,932,806
ADCMAP,936,810
ADCMAP,940,814
ADCMAP,944,815
ADCMAP,948,819
ADCMAP,952,822
ADCMAP,956,827
ADCMAP,960,829
ADCMAP,964,833
ADCMAP,968,835
ADCMAP,972,840
ADCMAP,976,843
ADCMAP,980,846
ADCMAP,984,848
ADCMAP,988,853
ADCMAP,992,856
ADCMAP,996,859
ADCMAP,1000,862
ADCMAP,1004,865
